income,age,dependents,current_debt,late_30,late_60,late_90,credit_utilization,credit_history_years,employment_status,housing,city_tier,dti,creditworthy
389762,56,3,71759,0,0,0,0.22417270033748204,8.983940594700611,salaried,own,tier1,0.18411063706669198,1
236150,24,0,23864,1,0,0,0.19984210709247754,7.995323390004867,salaried,own,tier1,0.10105816452847882,1
706116,24,1,70408,0,0,0,0.0947798093386008,4.644370106017634,salaried,rent,tier1,0.09971237437785214,1
365675,22,0,32876,1,1,0,0.5114134016461328,9.966933121224216,salaried,rent,tier2,0.08990561928943287,0
621201,25,1,80144,1,0,0,0.27633702264431126,7.468403427074474,self_employed,own,tier2,0.12901534334665735,1
877237,58,1,18133,0,0,0,0.4574455538968022,5.950220429583841,salaried,own,tier2,0.020671583572466446,1
328783,68,2,73836,0,0,0,0.3584193964930354,10.626405528806927,salaried,own,tier1,0.22457585402367128,0
636665,26,1,18239,1,0,0,0.28243197505641554,0.8703542695021449,salaried,rent,tier1,0.028648204203361335,0
316499,55,0,29309,0,2,0,0.6404838589900996,1.5382841715922257,salaried,rent,tier2,0.09260633544112973,1
463420,36,1,101842,0,0,0,0.3368261338702577,5.561165827928468,salaried,rent,tier2,0.21976200856200004,0
673831,25,0,57113,0,0,0,0.5298513724967758,5.4770552425665,salaried,rent,tier3,0.0847596877114029,1
356939,66,1,43143,0,0,0,0.3756982619118367,3.884696014026963,self_employed,own,tier2,0.12087101744874579,0
555804,64,0,32892,0,0,0,0.28996094140976125,12.909421663634248,student,rent,tier2,0.059179288532278614,1
283788,24,2,14746,0,2,0,0.25458926464256826,4.13326124334661,student,rent,tier1,0.051964188018331726,0
407367,28,1,95091,0,1,0,0.248562092158741,1.9371367844932692,self_employed,own,tier3,0.2334288707425988,1
284524,28,2,20835,1,0,0,0.9298227586165541,5.528362205586734,salaried,own,tier2,0.07323054342757811,1
243401,35,0,77817,0,0,0,0.3385127955038045,1.0423884339670435,salaried,own,tier2,0.3197081649587478,1
431818,53,0,112014,0,0,0,0.5238195399788115,6.2954088711965746,self_employed,rent,tier2,0.25940239259144926,0
314529,33,0,38076,0,0,0,0.17406282747088916,4.87480346391697,unemployed,rent,tier1,0.12105725171012008,0
576387,40,0,44725,0,0,0,0.4362594679457542,11.373661204085813,salaried,own,tier2,0.07759630837977298,1
388215,32,0,100322,2,0,0,0.2587549833929898,4.497595095275949,salaried,rent,tier2,0.2584190515138766,0
739449,64,1,80485,1,0,0,0.4787693005250788,8.237824913777409,self_employed,own,tier1,0.10884564391775216,0
488476,29,2,42433,0,0,0,0.015382879298804376,4.523472850947858,self_employed,own,tier2,0.08686831628955803,1
448081,27,0,43794,1,0,0,0.016084814888744126,10.892226477474178,salaried,own,tier2,0.09773699544131972,1
449447,47,2,140423,1,0,0,0.7187354239504506,7.283668905228819,salaried,own,tier3,0.3124357999504015,0
881883,41,3,99874,0,1,0,0.34028875451546403,4.949016668055016,student,own,tier2,0.11325158844114266,0
537865,32,2,61059,1,1,0,0.4051287867732145,7.0930484813956465,salaried,rent,tier2,0.1135225533691171,1
364567,34,0,115556,0,0,0,0.7958758032333831,2.9085713089061125,unemployed,own,tier1,0.31696780792827967,0
292586,62,1,138877,0,0,0,0.5697609937434395,7.281830524711196,self_employed,rent,tier1,0.47465245027979847,0
370685,40,0,61041,0,1,0,0.5109682841813087,10.421037349826497,salaried,own,tier1,0.1646721716850773,1
604224,61,2,32827,1,0,0,0.15358570835167823,10.647655235905718,salaried,rent,tier1,0.05433058568754881,0
866291,23,2,45565,1,0,0,0.837261514925083,3.750386159835885,salaried,rent,tier2,0.05259882431951434,1
637117,57,2,109375,0,0,0,0.3170005687676703,9.935106656717293,self_employed,rent,tier1,0.1716729269855254,1
538183,31,0,21684,0,0,0,0.14882609909026442,5.131496610560296,salaried,family,tier2,0.04029182253979151,1
774731,51,3,54413,0,0,0,0.16524979075246457,0.2,student,own,tier3,0.07023563160966678,1
565575,24,2,37646,1,0,0,0.31040248949690374,2.163825798898941,salaried,rent,tier2,0.06656281316107052,0
241298,42,1,36650,1,0,0,0.32022431640157883,7.0735162924994235,salaried,family,tier1,0.15188906091675997,1
701184,34,0,42564,0,1,0,0.1832585430805172,2.5505721750509442,self_employed,family,tier2,0.06070351478020445,0
312107,55,2,35576,0,0,0,0.7438686662796785,4.254796245290509,salaried,rent,tier1,0.11398748103435741,0
663577,63,1,165365,0,0,0,0.5194794516205383,6.965629580837234,salaried,rent,tier3,0.24920354945606263,0
454504,37,0,42844,0,1,0,0.6641576222428905,5.825745304979221,salaried,own,tier2,0.09426698936835551,0
472537,32,1,25457,1,0,0,0.32632127298739483,0.973768113668128,self_employed,family,tier2,0.05387317826583767,1
441661,54,2,45273,0,0,0,0.3594562475270949,14.946606167986117,self_employed,own,tier2,0.1025067188323955,1
771248,68,2,148574,0,0,0,0.166293915733585,7.533252306656896,self_employed,rent,tier2,0.19264148636221612,1
696864,52,3,203060,0,0,0,0.15322259952059217,0.779621393270217,salaried,own,tier1,0.29139145961129015,1
765086,51,0,45125,1,0,0,0.565960183719549,9.091402392570632,salaried,own,tier2,0.05898064507094845,0
348059,34,0,78858,0,0,0,0.025145390887825077,7.575503766492291,salaried,own,tier3,0.22656617049888805,0
60000,52,3,57641,0,0,0,0.6701829967393343,5.46388199985861,self_employed,own,tier2,0.9606881355213293,0
591180,55,1,32302,1,0,0,0.07185284092608972,8.875367928907231,salaried,rent,tier2,0.05464003479548238,1
610650,43,2,60008,0,1,0,0.3537161433771393,5.55090259391466,self_employed,rent,tier1,0.09826919795444314,1
438070,29,0,55071,0,0,0,0.22402191621884734,5.816401786849464,self_employed,rent,tier3,0.12571464754570386,0
719213,44,1,103396,2,0,0,0.32257067311004073,2.576449464779616,salaried,own,tier2,0.14376324703811155,0
333635,52,0,81570,1,0,0,0.44139390536860623,8.85724404522638,student,own,tier2,0.24448868876470703,0
382226,44,0,54097,0,0,0,0.4599084191957214,5.285960426361729,self_employed,rent,tier2,0.1415314094824216,1
465385,55,2,88573,1,1,0,0.598451192272683,5.222824727021708,salaried,own,tier1,0.19032238152166,0
546804,44,0,68622,1,0,0,0.46473597524354215,7.222658714386448,student,own,tier3,0.12549797470572055,0
472082,55,1,88626,1,0,0,0.8070711359169853,6.386666523852231,salaried,rent,tier2,0.1877359542898036,0
450922,27,2,176436,0,0,0,0.3679481933096327,2.3805743481595947,self_employed,own,tier2,0.39127819438212463,0
452213,23,0,33899,1,0,0,0.2423694278918279,5.552307316369561,student,own,tier2,0.07496283595742423,1
507647,38,1,20322,0,0,0,0.4233333581318156,3.0926242080715354,salaried,rent,tier2,0.0400326977527253,1
234790,68,0,38412,1,0,0,0.3153302706449371,2.261077320769169,unemployed,own,tier1,0.1636040023022063,1
228496,68,0,46881,0,1,0,0.5913702631363306,10.766103279371158,salaried,rent,tier2,0.2051752883184605,0
784899,68,0,86457,0,0,0,0.6684376861275937,7.1856998067677615,salaried,rent,tier1,0.11015091400377593,1
498591,66,0,134915,1,0,0,0.6060385118780567,6.972042986216641,salaried,rent,tier1,0.2705943125584902,0
215050,62,0,19581,0,0,0,0.4379856263850061,5.161268596323812,student,own,tier2,0.09105519789061295,0
562261,21,1,87558,0,0,0,0.1849222077545245,7.083732918491128,self_employed,rent,tier3,0.15572474939149591,0
641215,63,1,75836,0,0,0,0.2979612420207498,5.883049334693955,self_employed,rent,tier2,0.11826986874899535,1
553175,43,1,115297,0,0,0,0.4242979192753646,2.994309457594297,salaried,rent,tier1,0.2084279621723806,0
535738,23,1,67411,1,0,0,0.14518488237492053,4.6081107588748695,salaried,own,tier1,0.12582918237853882,1
483816,33,2,61804,0,1,0,0.22570495219669637,0.5659102053605833,salaried,rent,tier2,0.12774392736618184,1
274646,54,1,78313,0,0,0,0.2722618936865265,3.767663369264925,salaried,family,tier2,0.28514376435436367,1
338301,37,3,90794,0,1,0,0.18765901642912183,5.975840610476561,salaried,rent,tier2,0.26838417340524984,1
284451,27,3,47668,0,0,0,0.1324809929315053,1.6191038613025626,salaried,rent,tier3,0.16758230139311545,1
679919,26,1,37651,1,0,0,0.2841555667947442,6.502351837826123,self_employed,own,tier3,0.055376374852713565,1
684926,22,1,140241,0,0,0,0.31609216113599764,0.2,salaried,rent,tier2,0.20475351417474177,1
252178,26,1,91091,0,0,0,0.2816015720011391,3.5822286437795996,salaried,rent,tier1,0.3612200164004085,1
480657,43,2,46224,2,1,0,0.2305769111619281,6.222601732137669,self_employed,rent,tier3,0.09616932440302745,0
1038606,67,0,143589,0,0,0,0.5823183781968267,5.454978139771294,salaried,own,tier1,0.1382524054195966,1
621370,50,3,34029,0,0,0,0.18751135414679165,5.446191575882251,salaried,rent,tier3,0.05476447913471059,1
750568,58,2,36849,0,0,0,0.25064690785178967,3.1401798337545097,self_employed,own,tier3,0.04909530773945693,1
